sex,age_group,kfa_group,kcal_norm,protein_g_norm,fat_g_norm,carb_g_norm
male,18-29,I,2450.00,72.00,81.00,358.00
male,18-29,II,2800.00,80.00,93.00,411.00
male,18-29,III,3300.00,94.00,110.00,484.00
male,18-29,IV,3850.00,108.00,128.00,566.00
male,30-44,I,2300.00,68.00,77.00,335.00
male,30-44,II,2650.00,76.00,88.00,389.00
male,30-44,III,3150.00,89.00,105.00,462.00
male,30-44,IV,3700.00,103.00,123.00,540.00
male,45-64,I,2100.00,68.00,70.00,308.00
male,45-64,II,2500.00,80.00,83.00,367.00
male,45-64,III,2950.00,93.00,98.00,432.00
male,45-64,IV,3500.00,108.00,116.00,510.00
male,65-74,I,2100.00,74.00,70.00,294.00
male,65-74,II,2300.00,80.00,77.00,322.00
male,65-74,III,2300.00,80.00,77.00,322.00
male,65-74,IV,2300.00,80.00,77.00,322.00
male,75+,I,1950.00,68.00,65.00,273.00
male,75+,II,1950.00,68.00,65.00,273.00
male,75+,III,1950.00,68.00,65.00,273.00
male,75+,IV,1950.00,68.00,65.00,273.00
female,18-29,I,2000.00,61.00,67.00,289.00
female,18-29,II,2200.00,66.00,73.00,318.00
female,18-29,III,2600.00,76.00,87.00,378.00
female,18-29,IV,3050.00,87.00,102.00,442.00
female,30-44,I,1900.00,59.00,63.00,274.00
female,30-44,II,2150.00,65.00,72.00,310.00
female,30-44,III,2550.00,74.00,85.00,370.00
female,30-44,IV,2950.00,84.00,99.00,427.00
female,45-64,I,1800.00,58.00,60.00,264.00
female,45-64,II,2000.00,64.00,67.00,294.00
female,45-64,III,2350.00,73.00,78.00,344.00
female,45-64,IV,2750.00,84.00,92.00,401.00
female,65-74,I,1800.00,63.00,60.00,252.00
female,65-74,II,1975.00,68.00,66.00,275.00
female,65-74,III,1975.00,68.00,66.00,275.00
female,65-74,IV,1975.00,68.00,66.00,275.00
female,75+,I,1700.00,59.00,57.00,238.00
female,75+,II,1700.00,59.00,57.00,238.00
female,75+,III,1700.00,59.00,57.00,238.00
female,75+,IV,1700.00,59.00,57.00,238.00
